time,team,site,odds
2020-12-28 21:32:13.828217,Los Angeles Rams,draftkings,1.83
2020-12-28 21:32:13.828219,Philadelphia Eagles,unibet,2.02
2020-12-28 21:32:13.828220,Philadelphia Eagles,lowvig,2.1
2020-12-28 21:32:13.828222,Philadelphia Eagles,betonlineag,2.1
2020-12-28 21:32:13.828223,Philadelphia Eagles,williamhill_us,2.1
2020-12-28 21:32:13.828224,Philadelphia Eagles,sugarhouse,2.02
2020-12-28 21:32:13.828226,Philadelphia Eagles,betrivers,2.02
2020-12-28 21:32:13.828227,Philadelphia Eagles,draftkings,2.02
2020-12-28 21:32:13.828229,Philadelphia Eagles,betfair,2.12
2020-12-28 21:32:13.828230,Philadelphia Eagles,gtbets,2.1
2020-12-28 21:32:13.828231,Philadelphia Eagles,fanduel,2.0
2020-12-28 21:32:13.828233,Philadelphia Eagles,betmgm,2.0
2020-12-28 21:32:13.828234,Philadelphia Eagles,bookmaker,2.1
2020-12-28 21:32:13.828236,Philadelphia Eagles,bovada,2.1
2020-12-28 21:32:13.828237,Washington Football Team,unibet,1.8
2020-12-28 21:32:13.828242,Washington Football Team,lowvig,1.77
2020-12-28 21:32:13.828243,Washington Football Team,betonlineag,1.76
2020-12-28 21:32:13.828244,Washington Football Team,williamhill_us,1.77
2020-12-28 21:32:13.828246,Washington Football Team,sugarhouse,1.8
2020-12-28 21:32:13.828247,Washington Football Team,betrivers,1.8
2020-12-28 21:32:13.828249,Washington Football Team,draftkings,1.8
2020-12-28 21:32:13.828250,Washington Football Team,betfair,1.83
2020-12-28 21:32:13.828251,Washington Football Team,gtbets,1.77
2020-12-28 21:32:13.828255,Washington Football Team,fanduel,1.85
2020-12-28 21:32:13.828257,Washington Football Team,betmgm,1.87
2020-12-28 21:32:13.828258,Washington Football Team,bookmaker,1.77
2020-12-28 21:32:13.828260,Washington Football Team,bovada,1.77
2020-12-28 21:33:14.745989,Buffalo Bills,williamhill_us,1.29
2020-12-28 21:33:14.745998,Buffalo Bills,caesars,1.04
2020-12-28 21:33:14.745999,Buffalo Bills,betfair,1.06
2020-12-28 21:33:14.746001,Buffalo Bills,gtbets,1.07
2020-12-28 21:33:14.746002,Buffalo Bills,betrivers,1.02
2020-12-28 21:33:14.746004,Buffalo Bills,sugarhouse,1.02
2020-12-28 21:33:14.746005,Buffalo Bills,draftkings,1.02
2020-12-28 21:33:14.746007,Buffalo Bills,unibet,1.02
2020-12-28 21:33:14.746008,Buffalo Bills,mybookieag,1.2
2020-12-28 21:33:14.746010,Buffalo Bills,betmgm,1.04
2020-12-28 21:33:14.746011,Buffalo Bills,pointsbetus,1.05
2020-12-28 21:33:14.746013,Buffalo Bills,fanduel,1.03
2020-12-28 21:33:14.746014,New England Patriots,williamhill_us,3.8
2020-12-28 21:33:14.746016,New England Patriots,caesars,12.0
2020-12-28 21:33:14.746017,New England Patriots,betfair,12.0
2020-12-28 21:33:14.746019,New England Patriots,gtbets,7.34
2020-12-28 21:33:14.746020,New England Patriots,betrivers,14.0
2020-12-28 21:33:14.746025,New England Patriots,sugarhouse,14.0
2020-12-28 21:33:14.746027,New England Patriots,draftkings,14.0
2020-12-28 21:33:14.746028,New England Patriots,unibet,14.0
2020-12-28 21:33:14.746029,New England Patriots,mybookieag,3.95
2020-12-28 21:33:14.746031,New England Patriots,betmgm,11.0
2020-12-28 21:33:14.746032,New England Patriots,pointsbetus,12.5
2020-12-28 21:33:14.746034,New England Patriots,fanduel,12.2
2020-12-28 21:33:14.746036,Dallas Cowboys,lowvig,1.64
2020-12-28 21:33:14.746038,Dallas Cowboys,betonlineag,1.63
2020-12-28 21:33:14.746040,Dallas Cowboys,williamhill_us,1.67
2020-12-28 21:33:14.746041,Dallas Cowboys,fanduel,1.64
2020-12-28 21:33:14.746042,Dallas Cowboys,sugarhouse,1.68
2020-12-28 21:33:14.746044,Dallas Cowboys,unibet,1.68
2020-12-28 21:33:14.746045,Dallas Cowboys,betrivers,1.68
2020-12-28 21:33:14.746047,Dallas Cowboys,draftkings,1.68
2020-12-28 21:33:14.746048,Dallas Cowboys,pointsbetus,1.67
2020-12-28 21:33:14.746050,Dallas Cowboys,bookmaker,1.67
2020-12-28 21:33:14.746051,Dallas Cowboys,bovada,1.65
2020-12-28 21:33:14.746052,Dallas Cowboys,betmgm,1.67
2020-12-28 21:33:14.746054,Dallas Cowboys,gtbets,1.67
2020-12-28 21:33:14.746056,Dallas Cowboys,betfair,1.66
2020-12-28 21:33:14.746057,Dallas Cowboys,caesars,1.67
2020-12-28 21:33:14.746059,New York Giants,lowvig,2.37
2020-12-28 21:33:14.746060,New York Giants,betonlineag,2.37
2020-12-28 21:33:14.746062,New York Giants,williamhill_us,2.3
2020-12-28 21:33:14.746063,New York Giants,fanduel,2.32
2020-12-28 21:33:14.746065,New York Giants,sugarhouse,2.23
2020-12-28 21:33:14.746066,New York Giants,unibet,2.23
2020-12-28 21:33:14.746067,New York Giants,betrivers,2.23
2020-12-28 21:33:14.746069,New York Giants,draftkings,2.23
2020-12-28 21:33:14.746071,New York Giants,pointsbetus,2.3
2020-12-28 21:33:14.746072,New York Giants,bookmaker,2.28
2020-12-28 21:33:14.746073,New York Giants,bovada,2.35
2020-12-28 21:33:14.746075,New York Giants,betmgm,2.25
2020-12-28 21:33:14.746076,New York Giants,gtbets,2.3
2020-12-28 21:33:14.746078,New York Giants,betfair,2.38
2020-12-28 21:33:14.746079,New York Giants,caesars,2.3
2020-12-28 21:33:14.746081,Cleveland Browns,williamhill_us,1.3
2020-12-28 21:33:14.746083,Cleveland Browns,unibet,1.3
2020-12-28 21:33:14.746084,Cleveland Browns,betrivers,1.3
2020-12-28 21:33:14.746086,Cleveland Browns,sugarhouse,1.3
2020-12-28 21:33:14.746087,Cleveland Browns,draftkings,1.3
2020-12-28 21:33:14.746089,Cleveland Browns,betmgm,1.33
2020-12-28 21:33:14.746091,Cleveland Browns,betfair,1.26
2020-12-28 21:33:14.746092,Cleveland Browns,bovada,1.29
